ID_Venda;Data;Cliente;Produto;Categoria;Valor_Unitario;Quantidade;Total_Venda;Desconto_Pct;Status;Cidade;Vendedor
1;inválida;Cliente_4079;Notebook Dell;Acessórios;;dez;10939,69;7,5;;São Paulo;Carlos
2;13-01-2024;Cliente_7078;Mouse Logitech;Periféricos;5041,13;12;14746,72;12,4;Pendente;Rio de Janeiro;Maria
3;20/05/2024;Cliente_5308;Mouse Logitech;Acessórios;273,55;5;8570,47;1,1;Concluída;Rio de Janeiro;João
4;24/04/2024;Cliente_7441;Teclado Mecânico;Acessórios;5977,86;5;2958,79;9,1;Cancelada;Curitiba;Carlos
5;22-02-2024;Cliente_5952;iPhone 15;Periféricos;2308,46;15;12804,28;28,7;Concluída;São Paulo;Carlos
6;06/10/2024;Cliente_7564;Mouse Logitech;Periféricos;4368,52;11;3070,29;25,8;Pendente;Belo Horizonte;Maria
7;2024-10-29;Cliente_4418;Monitor LG;Acessórios;5129,72;4;7246,92;22,1;Cancelada;São Paulo;Carlos
8;inválida;Cliente_9767;Monitor LG;Eletrônicos;340,27;8;14764,63;1,4;Pendente;Belo Horizonte;Pedro
9;17/02/2024;Cliente_8337;Monitor LG;Eletrônicos;3077,82;12;12247,3;11,5;;São Paulo;João
10;29-04-2024;Cliente_1255;Notebook Dell;Eletrônicos;1480,21;7;4062,06;21,6;Pendente;Porto Alegre;Maria
11;04/11/2024;Cliente_2665;Teclado Mecânico;Eletrônicos;7063,83;14;12527,72;1,4;Concluída;Belo Horizonte;Pedro
12;14/10/2024;Cliente_5849;Mouse Logitech;Eletrônicos;8498,99;2;3794,75;8,1;Pendente;Curitiba;Maria
13;28-11-2024;Cliente_6368;iPhone 15;Periféricos;4332,5;1;4546,09;15,4;Concluída;São Paulo;Maria
14;2024-10-06;Cliente_6908;Mouse Logitech;Periféricos;;10;14620,21;28,4;Pendente;Porto Alegre;Maria
15;inválida;Cliente_8962;Monitor LG;Periféricos;1242,37;13;3326,08;10,6;Pendente;Belo Horizonte;Ana
16;2024-10-28;Cliente_1080;iPhone 15;Acessórios;4215,65;3;4513,51;2,3;Concluída;Porto Alegre;Ana
17;04/01/2024;Cliente_4781;Notebook Dell;Eletrônicos;4411,52;6;4507,15;12,5;;Belo Horizonte;Carlos
18;2024-12-23;Cliente_4888;Monitor LG;Acessórios;1628,52;13;3102,62;6,7;Concluída;Rio de Janeiro;Maria
19;2024-06-23;Cliente_5104;Mouse Logitech;Acessórios;8443,95;10;12182,22;1,5;Cancelada;Rio de Janeiro;Maria
20;20/03/2024;Cliente_3167;Notebook Dell;Eletrônicos;5697,92;dez;14793,45;19,1;;Belo Horizonte;João
21;21/06/2024;Cliente_8789;Monitor LG;Eletrônicos;6567,93;5;9016,8;21,9;Concluída;Curitiba;Pedro
22;inválida;Cliente_2622;iPhone 15;Eletrônicos;6165,49;6;9551,17;1,2;Pendente;São Paulo;Maria
23;2024-02-19;Cliente_9863;Notebook Dell;Acessórios;6031,83;3;1527,54;17,9;Cancelada;São Paulo;Carlos
24;25-06-2024;Cliente_7473;Monitor LG;Acessórios;5100,83;9;4730,97;19,4;Pendente;Belo Horizonte;Ana
25;15/05/2024;Cliente_7513;Monitor LG;Eletrônicos;8117,12;13;14254,69;5,6;Concluída;Belo Horizonte;Carlos
26;23-08-2024;Cliente_3472;Monitor LG;Periféricos;4474,19;8;3742,36;7,1;;Rio de Janeiro;Pedro
27;2024-03-04;Cliente_6932;Notebook Dell;Eletrônicos;;14;6625,1;3,0;Pendente;Rio de Janeiro;João
28;10-02-2024;Cliente_6278;Mouse Logitech;Acessórios;7025,37;10;10894,63;21,4;Pendente;Rio de Janeiro;Pedro
29;inválida;Cliente_3066;Teclado Mecânico;Acessórios;4619,95;11;982,0;16,2;Cancelada;Belo Horizonte;Carlos
30;2024-11-12;Cliente_1897;Teclado Mecânico;Eletrônicos;1466,83;11;6979,02;1,2;;São Paulo;Ana
31;22/10/2024;Cliente_6394;Teclado Mecânico;Eletrônicos;3547,9;14;13672,98;24,0;Concluída;Curitiba;Pedro
32;26/12/2024;Cliente_1390;iPhone 15;Acessórios;170,98;2;1635,45;27,2;;Porto Alegre;Carlos
33;24-01-2024;Cliente_3844;Monitor LG;Eletrônicos;7739,35;5;2512,01;20,4;;Rio de Janeiro;Maria
34;2024-04-26;Cliente_7380;iPhone 15;Periféricos;1912,35;9;9258,9;16,2;Cancelada;Porto Alegre;Ana
35;10/02/2024;Cliente_1878;Mouse Logitech;Eletrônicos;6706,52;9;11700,08;10,5;Cancelada;Porto Alegre;Maria
36;inválida;Cliente_1116;Monitor LG;Acessórios;8400,53;2;9137,56;19,5;Concluída;Belo Horizonte;Ana
37;2024-05-22;Cliente_1784;Teclado Mecânico;Periféricos;3413,78;11;12008,54;16,0;;Rio de Janeiro;Pedro
38;2024-11-21;Cliente_2314;Monitor LG;Acessórios;2614,59;12;210,5;7,1;Pendente;Porto Alegre;Maria
39;2024-03-24;Cliente_2820;Notebook Dell;Acessórios;8874,16;dez;5777,35;11,2;Cancelada;Curitiba;João
40;30/06/2024;Cliente_1907;Monitor LG;Acessórios;;12;5631,07;15,6;Pendente;São Paulo;Ana
41;2024-12-09;Cliente_2362;Notebook Dell;Acessórios;3964,95;4;12508,27;6,9;Pendente;Belo Horizonte;Carlos
42;25-12-2024;Cliente_6352;Monitor LG;Acessórios;1484,99;5;13202,09;19,1;;Porto Alegre;Pedro
43;inválida;Cliente_7948;iPhone 15;Acessórios;2114,97;13;10560,06;25,4;Concluída;Belo Horizonte;Ana
44;07-11-2024;Cliente_2209;Teclado Mecânico;Acessórios;3439,88;2;5017,1;6,1;Pendente;Curitiba;Carlos
45;28-03-2024;Cliente_7803;Teclado Mecânico;Periféricos;1094,5;6;6873,12;8,4;Cancelada;Curitiba;Carlos
46;05/05/2024;Cliente_2153;Notebook Dell;Acessórios;8784,96;8;8160,63;18,7;Pendente;Porto Alegre;Pedro
47;2024-08-24;Cliente_8531;iPhone 15;Eletrônicos;8653,87;12;4980,65;27,9;Cancelada;Porto Alegre;Pedro
48;18-05-2024;Cliente_4154;Monitor LG;Acessórios;7028,37;10;11542,48;16,9;;Porto Alegre;João
49;18-12-2024;Cliente_5225;Monitor LG;Eletrônicos;5332,3;2;4506,75;13,9;;Rio de Janeiro;Ana
50;inválida;Cliente_5134;Teclado Mecânico;Periféricos;1848,7;10;14389,07;4,7;Concluída;Porto Alegre;Carlos
51;15/06/2024;Cliente_9425;Teclado Mecânico;Periféricos;1405,43;14;5899,62;1,7;Cancelada;Curitiba;Carlos
52;27/04/2024;Cliente_2341;Teclado Mecânico;Periféricos;3133,63;3;3855,61;2,4;;Belo Horizonte;Carlos
53;2024-06-10;Cliente_3282;iPhone 15;Eletrônicos;;10;7974,67;12,4;Concluída;São Paulo;Maria
54;17/05/2024;Cliente_2437;Notebook Dell;Periféricos;1747,74;2;781,81;9,4;Pendente;Porto Alegre;Pedro
55;18-04-2024;Cliente_4784;Teclado Mecânico;Eletrônicos;1990,94;3;14001,49;7,9;Concluída;São Paulo;João
56;10/06/2024;Cliente_1019;Teclado Mecânico;Eletrônicos;8794,28;7;2377,56;6,4;Pendente;Porto Alegre;Pedro
57;inválida;Cliente_1768;Mouse Logitech;Acessórios;5369,42;9;12121,97;14,6;Cancelada;Rio de Janeiro;Ana
58;21-07-2024;Cliente_9388;Mouse Logitech;Acessórios;5678,21;dez;12851,82;1,4;;Porto Alegre;Carlos
59;22/08/2024;Cliente_3292;Teclado Mecânico;Periféricos;2175,09;8;9702,92;23,3;Pendente;Rio de Janeiro;Carlos
60;15/05/2024;Cliente_4165;Monitor LG;Acessórios;1030,82;12;5118,75;19,4;;São Paulo;Carlos
61;06-05-2024;Cliente_9697;Notebook Dell;Eletrônicos;5413,89;2;5925,89;8,1;Pendente;Curitiba;Pedro
62;14-10-2024;Cliente_5963;Notebook Dell;Acessórios;8704,76;7;4583,68;14,1;;Rio de Janeiro;Pedro
63;14-05-2024;Cliente_7151;Mouse Logitech;Acessórios;6200,87;11;5968,7;24,8;;Curitiba;João
64;inválida;Cliente_1839;Notebook Dell;Acessórios;8660,12;8;10841,57;29,1;Cancelada;São Paulo;João
65;2024-10-25;Cliente_7633;Teclado Mecânico;Acessórios;3271,55;2;5883,12;7,7;Concluída;Porto Alegre;Carlos
66;04/07/2024;Cliente_8832;Monitor LG;Acessórios;;2;9970,87;28,8;Concluída;Belo Horizonte;Ana
67;11-03-2024;Cliente_3094;Notebook Dell;Eletrônicos;6583,14;1;3907,45;8,6;;Curitiba;Maria
68;09/09/2024;Cliente_4221;Mouse Logitech;Eletrônicos;3076,08;1;11299,95;21,8;;São Paulo;Pedro
69;25/01/2024;Cliente_4572;Monitor LG;Eletrônicos;5925,37;8;8063,65;25,7;Pendente;Curitiba;Maria
70;19-03-2024;Cliente_2205;Notebook Dell;Periféricos;8671,47;10;6340,37;23,1;Concluída;Rio de Janeiro;João
