ID_Venda;Data;Cliente;Produto;Categoria;Regiao;Canal_Venda;Vendedor;Cidade;Valor_Unitario;Quantidade;Desconto_Pct;Total_Venda;Status;Nota_Cliente;Prazo_Entrega;Margem_Pct
1;15-Jun-2024;CLI-67072;Teclado Mecânico;Periféricos;Centro-Oeste;Online;João;Porto Alegre;;12.0;10,2;159684,36;;;21;
2;10-09-2024;CLI-61087;Teclado Mecânico;Eletrônicos;Centro-Oeste;Revendedor;João;Curitiba;1329,8;14;23,9;14167,69;Concluída;3,0;17;32,7
3;07/01/2024;CLI-18993;iPhone 15;Acessórios;Norte;Revendedor;Maria;Curitiba;7152,67;2;27,0;46993,05;Concluída;2,6;21;37,6
4;29/12/2024;CLI-44821;Mouse Logitech;Periféricos;Sudeste;Revendedor;Pedro;Curitiba;2774,79;15;23,7;31757,47;Concluída;2,6;24;26,1
5;31-08-2024;CLI-45142;iPhone 15;Periféricos;Norte;Televendas;Pedro;Porto Alegre;5227,13;9;6,7;43892,21;Concluída;3,2;28;31,4
6;08/10/2024;CLI-21859;iPhone 15;Eletrônicos;Sudeste;Revendedor;Maria;Curitiba;4453,61;13;28,5;186283,35;Cancelada;4,2;21;39,8
7;19/08/2024;CLI-95094;iPhone 15;Acessórios;Nordeste;Online;Pedro;Rio de Janeiro;5510,88;8;25,4;124977,93;Cancelada;1,1;23;19,7
8;2024-03-25;CLI-24300;iPhone 15;Periféricos;Sudeste;Revendedor;Maria;Curitiba;8552,85;14;27,0;393345,58;Concluída;2,4;11;8,3
9;25-12-2024;CLI-47367;Notebook Dell;Periféricos;Nordeste;Online;Ana;Porto Alegre;4169,28;14;16,6;184985,94;Concluída;2,9;7;24,8
10;inválida;CLI-95083;Monitor LG;Eletrônicos;Nordeste;Loja Física;Ana;Porto Alegre;2242,75;11;3,6;23782,12;Cancelada;2,5;18;6,1
11;28-12-2024;CLI-16143;Teclado Mecânico;Eletrônicos;Centro-Oeste;Revendedor;Pedro;Belo Horizonte;5368,18;12;2,6;62743,29;Concluída;2,4;2;18,0
12;16/03/2024;CLI-60386;Mouse Logitech;Eletrônicos;Norte;Online;Pedro;Belo Horizonte;3724,99;11;16,3;130324,72;Concluída;3,9;16;6,3
13;2024-04-12;CLI-10846;Mouse Logitech;Acessórios;Nordeste;Online;Maria;Porto Alegre;7190,55;2;25,1;184191,62;Pendente;4,1;10;10,4
14;16/09/2024;CLI-58460;Notebook Dell;Periféricos;Sudeste;Revendedor;Carlos;Belo Horizonte;;15;25,5;97388,78;Cancelada;2,8;22;26,9
15;28-06-2024;CLI-60810;Mouse Logitech;Eletrônicos;Centro-Oeste;Loja Física;Maria;Curitiba;1701,91;13;23,3;76363,83;Cancelada;1,6;9;38,6
16;2024-04-01;CLI-97990;Teclado Mecânico;Eletrônicos;Sudeste;Loja Física;Ana;Porto Alegre;1511,48;2;4,3;2892,97;Concluída;2,0;7;27,6
17;2024-03-04;CLI-81166;iPhone 15;Acessórios;Norte;Televendas;Pedro;Curitiba;769,44;4;2,7;2994,66;Cancelada;2,6;18;8,7
18;2024-08-18;CLI-43508;Teclado Mecânico;Acessórios;Nordeste;Online;Ana;Porto Alegre;315,1;6;3,2;6954,38;Concluída;1,5;19;14,2
19;inválida;CLI-10489;Mouse Logitech;Acessórios;Sudeste;Revendedor;Ana;Curitiba;5923,21;12;28,5;50821,14;Concluída;1,7;11;20,7
20;2024-11-28;CLI-51817;Mouse Logitech;Eletrônicos;Sul;Revendedor;Maria;São Paulo;2103,99;dez;13,1;8227,66;Pendente;1,8;5;16,2
21;2024-10-14;CLI-37979;iPhone 15;Acessórios;Sudeste;Televendas;Carlos;São Paulo;3110,79;4;0,9;12331,17;Cancelada;3,6;24;5,6
22;2024-06-28;CLI-14727;Monitor LG;Acessórios;Sul;Online;Carlos;Rio de Janeiro;5765,73;6;16,9;109242,13;Cancelada;1,2;30;43,0
23;10-03-2024;CLI-93328;Teclado Mecânico;Acessórios;Centro-Oeste;Loja Física;Carlos;Belo Horizonte;2664,33;2;27,3;3873,94;Cancelada;4,0;9;28,4
24;25/01/2024;CLI-34338;iPhone 15;Eletrônicos;Nordeste;Online;Ana;Belo Horizonte;7998,25;14;3,3;411465,18;Concluída;2,8;7;42,5
25;2024-03-25;CLI-67007;iPhone 15;Eletrônicos;Centro-Oeste;Revendedor;João;Belo Horizonte;2975,31;2;13,5;5147,29;Cancelada;3,5;8;30,5
26;20/03/2024;CLI-79674;Teclado Mecânico;Acessórios;Centro-Oeste;Televendas;Ana;Rio de Janeiro;2678,47;4;28,8;7628,28;Concluída;1,1;5;44,1
27;2024-07-18;CLI-34909;iPhone 15;Eletrônicos;Nordeste;Revendedor;Pedro;Curitiba;;9;22,8;11337,05;Pendente;3,2;15;26,0
28;inválida;CLI-89266;Mouse Logitech;Eletrônicos;Sul;Revendedor;Maria;Curitiba;8993,8;1;18,8;32863,36;Cancelada;4,0;6;39,2
29;2024-01-09;CLI-50064;Monitor LG;Periféricos;Nordeste;Loja Física;Maria;Porto Alegre;3152,63;8;10,1;244876,05;Cancelada;3,7;3;30,0
30;28/03/2024;CLI-46198;Notebook Dell;Periféricos;Nordeste;Online;Ana;São Paulo;3650,91;five;20,0;110987,66;Concluída;1,8;4;10,9
31;11-10-2024;CLI-21154;Mouse Logitech;Acessórios;Norte;Online;Maria;Rio de Janeiro;2627,85;15;1,8;661910,75;Pendente;3,1;2;45,0
32;23-04-2024;CLI-33913;Notebook Dell;Acessórios;Norte;Loja Física;Carlos;Belo Horizonte;5559,75;13;24,6;54496,67;Cancelada;2,0;28;22,1
33;2024-03-19;CLI-88900;Teclado Mecânico;Eletrônicos;Nordeste;Televendas;Carlos;Curitiba;598,22;15;2,0;8793,83;Cancelada;3,9;15;39,0
34;25-08-2024;CLI-90811;Monitor LG;Acessórios;Nordeste;Revendedor;Maria;Curitiba;7403,32;3;15,9;84053,61;Cancelada;5,0;26;35,6
35;2024-05-05;CLI-52116;Teclado Mecânico;Periféricos;Centro-Oeste;Loja Física;Maria;Porto Alegre;841,57;2;18,3;6188,09;Concluída;1,1;22;40,1
36;14/09/2024;CLI-21994;Notebook Dell;Acessórios;Nordeste;Loja Física;Carlos;São Paulo;7352,23;12;21,2;69522,69;Cancelada;3,2;28;18,6
37;inválida;CLI-16315;Monitor LG;Eletrônicos;Sudeste;Revendedor;João;Belo Horizonte;7208,89;9;29,0;46064,81;Concluída;4,0;6;38,7
38;08-08-2024;CLI-61935;Mouse Logitech;Periféricos;Sul;Revendedor;Ana;São Paulo;7732,19;12.0;20,5;67618,0;Pendente;3,3;9;9,6
39;08/11/2024;CLI-31912;Notebook Dell;Acessórios;Sudeste;Loja Física;Maria;Curitiba;4227,28;dez;24,8;171661,36;Concluída;3,9;16;37,4
40;28/10/2024;CLI-58574;Teclado Mecânico;Acessórios;Sudeste;Loja Física;Pedro;Belo Horizonte;;14;2,8;118645,29;Pendente;2,8;16;27,0
41;2024-10-30;CLI-29021;iPhone 15;Periféricos;Sul;Televendas;Maria;Curitiba;5453,39;4;18,2;80295,7;Cancelada;1,2;4;13,9
42;2024/06/15 14:30:00;CLI-40818;Monitor LG;Acessórios;Sudeste;Televendas;Maria;Belo Horizonte;1180,69;6;23,1;24514,65;Cancelada;4,8;13;
43;2024-12-09;CLI-18465;Mouse Logitech;Acessórios;Centro-Oeste;Revendedor;Maria;São Paulo;5648,57;9;19,7;183699,99;Pendente;1,3;4;23,0
44;18/04/2024;CLI-74447;Notebook Dell;Acessórios;Centro-Oeste;Online;Pedro;Belo Horizonte;1048,37;12;1,2;47231,99;Concluída;3,8;6;41,1
45;11-08-2024;CLI-78688;Teclado Mecânico;Eletrônicos;Sudeste;Revendedor;Pedro;Belo Horizonte;4236,79;5;4,2;20294,22;Concluída;3,5;27;35,5
46;inválida;CLI-94447;Mouse Logitech;Eletrônicos;Nordeste;Online;Carlos;Rio de Janeiro;6353,08;2;1,2;47704,02;Cancelada;4,3;5;13,4
47;2024-07-04;CLI-23644;iPhone 15;Acessórios;Norte;Revendedor;Maria;São Paulo;5995,0;8;2,9;209561,22;Pendente;1,2;5;28,3
48;11/05/2024;CLI-92103;Mouse Logitech;Acessórios;Sul;Online;Ana;Curitiba;8729,16;12;27,3;289382,12;Pendente;3,3;17;31,6
49;14/01/2024;CLI-80456;Teclado Mecânico;Acessórios;Nordeste;Televendas;Maria;São Paulo;6020,97;9;7,0;226779,84;Concluída;1,4;16;11,0
50;2024-04-27;CLI-74083;Notebook Dell;Eletrônicos;Norte;Televendas;Maria;São Paulo;2437,92;14;23,8;117034,78;Pendente;4,2;9;31,2
51;27-11-2024;CLI-30906;Monitor LG;Eletrônicos;Sul;Revendedor;Maria;Curitiba;4012,05;6;13,7;93484,76;Pendente;3,3;15;8,0
52;04/09/2024;CLI-31151;iPhone 15;Eletrônicos;Centro-Oeste;Televendas;Ana;Porto Alegre;570,18;12;26,4;5035,83;Pendente;2,0;28;13,3
53;2024-01-24;CLI-96936;iPhone 15;Eletrônicos;Sul;Televendas;Maria;Belo Horizonte;;2;20,7;4868,73;Pendente;4,4;8;26,7
54;15-Jun-2024;CLI-77410;iPhone 15;Periféricos;Sudeste;Televendas;Ana;São Paulo;4607,1;6;26,8;20234,38;;3,2;18;38,4
55;inválida;CLI-28875;Teclado Mecânico;Eletrônicos;Centro-Oeste;Online;Maria;Curitiba;8167,52;2;20,7;221508,08;Pendente;2,0;7;5,8
56;17-11-2024;CLI-17171;Mouse Logitech;Periféricos;Centro-Oeste;Loja Física;Ana;Belo Horizonte;1152,31;3;17,9;2838,14;Cancelada;1,3;27;22,2
57;04-06-2024;CLI-26142;iPhone 15;Periféricos;Sudeste;Online;Carlos;Porto Alegre;7614,35;12;13,5;300340,41;Cancelada;2,3;1;36,6
58;2024-12-08;CLI-69519;Mouse Logitech;Periféricos;Norte;Online;Maria;Belo Horizonte;600,21;dez;12,6;134555,64;Pendente;4,5;27;27,1
59;22-05-2024;CLI-11927;iPhone 15;Eletrônicos;Sudeste;Televendas;Maria;Rio de Janeiro;7991,14;five;15,4;365067,22;Pendente;2,6;13;13,2
60;04-03-2024;CLI-63990;Notebook Dell;Eletrônicos;Sudeste;Loja Física;João;Porto Alegre;3884,03;14;9,1;49428,17;Cancelada;4,9;15;5,2
61;2024-10-17;CLI-36145;Notebook Dell;Periféricos;Sul;Televendas;Pedro;Curitiba;448,22;11;14,7;4205,65;Concluída;1,3;3;32,0
62;18/11/2024;CLI-47601;Notebook Dell;Acessórios;Sudeste;Loja Física;João;São Paulo;5670,79;1;27,9;4088,64;Pendente;;10;16,3
63;2024-03-23;CLI-18650;iPhone 15;Eletrônicos;Nordeste;Online;Pedro;Curitiba;4382,69;7;25,2;87201,49;Concluída;3,9;30;24,0
64;inválida;CLI-56167;Teclado Mecânico;Eletrônicos;Nordeste;Online;João;Curitiba;1762,64;10;3,5;64636,02;Concluída;2,9;27;15,4
65;2024-04-09;CLI-37502;Teclado Mecânico;Eletrônicos;Nordeste;Televendas;Pedro;Rio de Janeiro;8449,14;11;6,4;86992,35;Cancelada;2,5;21;25,6
66;2024-03-12;CLI-53806;Notebook Dell;Periféricos;Centro-Oeste;Loja Física;Pedro;Rio de Janeiro;;5;10,4;12391,77;Pendente;1,9;30;22,1
67;29-11-2024;CLI-75307;Teclado Mecânico;Acessórios;Nordeste;Televendas;Ana;Belo Horizonte;7999,38;11;24,2;66698,83;Pendente;1,7;23;22,0
68;13/08/2024;CLI-91049;Notebook Dell;Eletrônicos;Norte;Online;João;Curitiba;5624,47;8;10,4;153201,56;Pendente;2,7;25;20,7
69;12/10/2024;CLI-73434;iPhone 15;Eletrônicos;Norte;Online;João;Rio de Janeiro;2472,79;4;13,6;32474,65;Concluída;3,2;16;11,1
70;09/12/2024;CLI-14153;Monitor LG;Acessórios;Sul;Online;João;Belo Horizonte;1476,41;6;18,8;27333,67;Pendente;1,6;28;31,7
71;19/10/2024;CLI-94774;Mouse Logitech;Periféricos;Nordeste;Televendas;Pedro;São Paulo;6428,39;1;8,3;5894,83;Concluída;3,4;2;12,4
72;2024-05-17;CLI-94171;Notebook Dell;Eletrônicos;Sul;Loja Física;Pedro;Belo Horizonte;259,64;10;12,2;2279,64;Pendente;1,8;6;21,5
73;inválida;CLI-25784;Teclado Mecânico;Eletrônicos;Sudeste;Revendedor;João;Curitiba;5873,86;1;21,3;4622,73;Pendente;3,3;10;44,3
74;23-05-2024;CLI-97020;Monitor LG;Acessórios;Sul;Loja Física;João;Curitiba;8108,89;1;28,6;5789,75;Cancelada;1,0;9;26,0
75;2024-11-05;CLI-82611;iPhone 15;Eletrônicos;Sudeste;Revendedor;João;Belo Horizonte;390,37;12.0;15,7;5100,77;Pendente;2,6;5;31,5
76;2024-04-17;CLI-45906;Mouse Logitech;Eletrônicos;Sudeste;Revendedor;Pedro;São Paulo;7627,82;9;26,7;50320,73;Pendente;3,5;1;38,3
77;2024-09-09;CLI-44936;Teclado Mecânico;Periféricos;Nordeste;Loja Física;João;Curitiba;3949,45;dez;25,8;41026,89;Pendente;1,8;7;37,6
78;06/10/2024;CLI-45004;iPhone 15;Acessórios;Sudeste;Loja Física;João;Rio de Janeiro;756,92;15;20,6;9014,92;Pendente;3,5;23;21,6
79;2024-11-03;CLI-55894;Notebook Dell;Periféricos;Sudeste;Revendedor;Pedro;São Paulo;;3;26,8;9668,15;Cancelada;2,0;26;24,6
80;2024-06-09;CLI-62873;iPhone 15;Periféricos;Centro-Oeste;Online;Pedro;São Paulo;4460,44;12;1,9;199531,54;Pendente;2,9;3;40,3
81;13/12/2024;CLI-17438;Teclado Mecânico;Eletrônicos;Sul;Online;Carlos;Curitiba;1578,91;5;1,7;29489,29;Cancelada;1,7;4;35,0
82;inválida;CLI-32613;Monitor LG;Acessórios;Nordeste;Revendedor;Carlos;Belo Horizonte;1573,41;9;4,3;13551,78;Cancelada;1,2;9;6,3
83;2024/06/15 14:30:00;CLI-18409;Mouse Logitech;Periféricos;Centro-Oeste;Televendas;Maria;Rio de Janeiro;4986,18;11;16,7;205597,66;Concluída;1,6;2;
84;2024-08-30;CLI-66171;Teclado Mecânico;Acessórios;Sudeste;Televendas;Maria;Curitiba;5224,66;2;16,2;39404,38;Pendente;1,9;3;18,4
85;2024-10-30;CLI-78059;iPhone 15;Acessórios;Sudeste;Online;Pedro;Belo Horizonte;3793,26;8;22,8;89023,25;Concluída;4,7;19;6,3
86;09/11/2024;CLI-58491;Monitor LG;Acessórios;Sul;Loja Física;Maria;Porto Alegre;6693,81;11;24,0;251821,12;Concluída;1,7;11;16,6
87;2024-04-23;CLI-58940;Teclado Mecânico;Eletrônicos;Norte;Revendedor;Maria;Rio de Janeiro;4031,29;13;2,0;231113,84;Cancelada;1,9;4;8,5
88;2024-05-11;CLI-80330;Notebook Dell;Acessórios;Nordeste;Online;Carlos;Porto Alegre;8605,27;five;28,5;140283,12;Cancelada;4,5;26;7,4
89;2024-10-09;CLI-42661;iPhone 15;Acessórios;Nordeste;Revendedor;Ana;Curitiba;2281,03;8;9,5;16514,66;Concluída;1,6;25;16,9
90;2024-04-23;CLI-42422;Mouse Logitech;Eletrônicos;Nordeste;Revendedor;Maria;São Paulo;1679,87;9;26,6;49937,49;Pendente;2,5;30;5,8
91;inválida;CLI-13835;iPhone 15;Acessórios;Sul;Online;Maria;Curitiba;1344,97;2;9,7;41536,24;Concluída;1,1;3;43,9
92;2024-07-03;CLI-60387;Mouse Logitech;Acessórios;Norte;Revendedor;João;Belo Horizonte;;14;17,6;25779,27;Pendente;1,5;29;22,9
93;28/05/2024;CLI-13883;Teclado Mecânico;Eletrônicos;Norte;Online;João;Porto Alegre;2891,05;6;10,9;58731,09;Concluída;4,7;22;34,8
94;2024-02-02;CLI-92151;Notebook Dell;Periféricos;Centro-Oeste;Revendedor;Carlos;Rio de Janeiro;5302,22;4;17,9;17412,49;Cancelada;3,5;3;19,4
95;10-04-2024;CLI-11121;Notebook Dell;Eletrônicos;Centro-Oeste;Loja Física;Carlos;Rio de Janeiro;2032,84;8;25,6;12099,46;Cancelada;2,6;7;23,1
96;2024-02-11;CLI-95362;Notebook Dell;Acessórios;Nordeste;Televendas;Maria;Rio de Janeiro;5224,84;dez;2,4;160632,5;Cancelada;1,5;15;38,3
97;03-07-2024;CLI-99980;iPhone 15;Acessórios;Sudeste;Loja Física;Pedro;São Paulo;5299,5;9;22,2;37107,1;Cancelada;4,2;11;15,7
98;11/02/2024;CLI-56056;Monitor LG;Eletrônicos;Centro-Oeste;Televendas;João;São Paulo;1065,83;4;29,6;3001,38;Pendente;3,0;18;18,0
99;27/12/2024;CLI-93420;iPhone 15;Eletrônicos;Nordeste;Loja Física;Pedro;São Paulo;2824,9;8;11,4;20022,89;Pendente;3,5;9;24,4
100;inválida;CLI-29916;iPhone 15;Periféricos;Nordeste;Loja Física;Pedro;São Paulo;2170,89;9;26,9;14282,29;Pendente;3,6;29;17,8
101;2024-07-03;CLI-72917;Teclado Mecânico;Periféricos;Centro-Oeste;Televendas;Carlos;Rio de Janeiro;3541,27;9;28,4;157418,43;Cancelada;4,4;27;21,7
102;24/05/2024;CLI-90019;iPhone 15;Acessórios;Centro-Oeste;Televendas;Carlos;Curitiba;7930,04;1;12,5;6938,78;Cancelada;2,3;29;13,1
103;09/06/2024;CLI-17726;iPhone 15;Acessórios;Norte;Online;Carlos;Curitiba;457,33;7;4,6;11605,39;Cancelada;3,7;28;33,4
104;04-08-2024;CLI-29375;Mouse Logitech;Acessórios;Norte;Televendas;João;Porto Alegre;7060,78;11;13,6;67105,65;Pendente;4,2;2;26,3
105;15/06/2024;CLI-44955;Monitor LG;Periféricos;Sudeste;Loja Física;Ana;Belo Horizonte;;5;26,6;1794,74;Concluída;1,7;30;15,2
106;2024-10-03;CLI-93637;Teclado Mecânico;Acessórios;Centro-Oeste;Loja Física;Ana;Rio de Janeiro;6418,47;7;13,7;38773,98;Concluída;2,9;1;24,4
107;15-Jun-2024;CLI-37235;iPhone 15;Acessórios;Centro-Oeste;Televendas;João;Curitiba;5696,32;8;21,8;35636,18;;3,4;14;33,9
108;29-10-2024;CLI-78512;Monitor LG;Acessórios;Sudeste;Online;Carlos;Rio de Janeiro;7106,98;15;7,4;375120,61;Cancelada;3,8;14;36,7
109;inválida;CLI-16715;Notebook Dell;Eletrônicos;Norte;Loja Física;João;Porto Alegre;2381,03;5;24,5;8988,39;Cancelada;2,5;25;20,2
110;2024-11-10;CLI-81432;Monitor LG;Acessórios;Centro-Oeste;Loja Física;Pedro;Curitiba;5639,15;6;14,0;29098,01;Concluída;1,8;1;29,8
111;16/06/2024;CLI-27773;iPhone 15;Periféricos;Sul;Televendas;João;Curitiba;5399,42;2;17,2;8941,44;Cancelada;2,9;22;40,4
112;2024-01-28;CLI-49957;Notebook Dell;Acessórios;Norte;Revendedor;Carlos;Belo Horizonte;8050,59;12.0;11,4;14265,65;Cancelada;4,7;19;40,5
113;2024-07-10;CLI-86440;Mouse Logitech;Acessórios;Sudeste;Online;Carlos;Curitiba;4465,06;9;10,9;136060,22;Cancelada;3,3;5;42,7
114;2024-08-11;CLI-29259;Monitor LG;Acessórios;Sudeste;Loja Física;Carlos;Rio de Janeiro;8254,38;4;17,6;27206,44;Cancelada;2,4;1;28,7
115;2024-02-01;CLI-89790;Notebook Dell;Acessórios;Centro-Oeste;Televendas;Carlos;Porto Alegre;1745,06;dez;21,8;12281,73;Cancelada;1,4;5;10,0
116;2024-08-18;CLI-75529;Mouse Logitech;Acessórios;Centro-Oeste;Televendas;Ana;Curitiba;3734,0;6;7,3;20768,51;Concluída;3,2;3;41,1
117;02-07-2024;CLI-11810;Notebook Dell;Acessórios;Nordeste;Loja Física;Carlos;São Paulo;4703,8;five;2,3;9191,23;Cancelada;1,6;4;31,2
118;inválida;CLI-53701;Monitor LG;Periféricos;Sudeste;Online;Maria;Porto Alegre;;2;18,6;239011,68;Concluída;3,6;3;36,2
119;07/11/2024;CLI-72267;iPhone 15;Periféricos;Nordeste;Televendas;Maria;São Paulo;3318,57;13;27,1;438728,76;Concluída;4,0;27;8,8
120;2024-04-18;CLI-90730;Teclado Mecânico;Periféricos;Centro-Oeste;Loja Física;Carlos;Belo Horizonte;628,69;11;6,1;6493,74;Cancelada;3,6;14;23,4
121;23/03/2024;CLI-47998;Teclado Mecânico;Eletrônicos;Sudeste;Televendas;Carlos;Curitiba;1554,86;15;17,0;19358,01;Cancelada;2,5;6;29,9
122;21-06-2024;CLI-29651;Monitor LG;Periféricos;Sudeste;Loja Física;Ana;São Paulo;8600,12;8;20,3;54834,37;Concluída;4,8;21;15,2
123;2024-05-23;CLI-17741;Teclado Mecânico;Eletrônicos;Sul;Loja Física;Carlos;Belo Horizonte;6246,58;12;21,2;59067,66;Cancelada;;13;7,9
124;2024/06/15 14:30:00;CLI-73314;Teclado Mecânico;Acessórios;Sudeste;Televendas;Pedro;Porto Alegre;1079,93;5;30,0;3779,76;Concluída;2,0;2;
125;29-05-2024;CLI-94078;Teclado Mecânico;Eletrônicos;Sudeste;Revendedor;Carlos;São Paulo;1388,33;5;7,4;6427,97;Cancelada;3,3;30;22,7
126;16/08/2024;CLI-92466;Monitor LG;Periféricos;Sul;Revendedor;Ana;Rio de Janeiro;202,26;11;12,6;1944,53;Pendente;4,8;14;16,7
127;inválida;CLI-63288;Mouse Logitech;Eletrônicos;Norte;Loja Física;Maria;São Paulo;2164,56;8;28,2;55949,54;Concluída;2,8;15;17,1
128;2024-02-11;CLI-57506;Notebook Dell;Periféricos;Nordeste;Loja Física;Carlos;Curitiba;2224,07;12;10,7;23833,13;Cancelada;5,0;25;31,2
129;2024-11-27;CLI-87862;iPhone 15;Eletrônicos;Sul;Televendas;Carlos;Rio de Janeiro;2478,39;3;26,8;16871,87;Cancelada;1,9;14;25,8
130;13-10-2024;CLI-31283;Notebook Dell;Acessórios;Norte;Online;Ana;Curitiba;2352,1;14;3,6;120626,97;Cancelada;2,8;1;12,8
131;2024-02-01;CLI-81922;Monitor LG;Eletrônicos;Norte;Online;Maria;Curitiba;;4;10,8;59310,48;Concluída;3,1;30;14,6
132;2024-03-21;CLI-20713;Teclado Mecânico;Periféricos;Sudeste;Online;Maria;Curitiba;6270,31;8;23,1;659631,66;Pendente;4,2;12;39,4
133;2024-02-15;CLI-43527;Teclado Mecânico;Periféricos;Centro-Oeste;Online;Pedro;São Paulo;8026,63;8;27,1;177882,98;Cancelada;2,2;18;38,5
134;26-04-2024;CLI-85295;iPhone 15;Eletrônicos;Nordeste;Revendedor;Carlos;Rio de Janeiro;5094,52;dez;11,8;53920,4;Cancelada;3,0;26;16,8
135;2024-05-02;CLI-13417;Monitor LG;Periféricos;Sudeste;Televendas;Ana;São Paulo;4247,88;11;29,7;32848,86;Pendente;2,8;24;17,4
